India/State/UT,Total Schools,Total Enrolment,Total Teachers,Number of Schools with Single Teacher,Number of CWSN Enrolments,Number of Transgender Enrolments,Number of Teachers with Professional Qualification,<=50,51-100,101-150,151-200,201-250,251-300,>300,SC Enrolment (in %),ST Enrolment (in %),OBC Enrolment (in %),General Enrolment (in %),Muslim Enrolment (in %),Christian Enrolment (in %),Sikh Enrolment (in %),Buddhist Enrolment (in %),Parsi Enrolment (in %),Jain Enrolment (in %),Other Enrolment (in %),Percentage of Schools with Functional Electricity connection,Percentage of Schools with Functional Girls Toilet,Percentage of Schools with Functional CWSN friendly Toilet,Percentage of Schools with Handwash Facility,Percentage of Schools with Drinking Water,Percentage of Schools having Library/ Reading corner,Percentage of Schools with Internet Facility,Percentage of Schools with Computer Facility,Percentage of Schools with Ramp for CWSN,Percentage of Schools with Playground,Percentage of Schools having Kitchen Garden,Percentage of Schools having Rainwater harvesting,Percentage of Schools having Waste collection system,Percentage of Schools having separate room for Head Teacher/Principal,Percentage of Schools with boundary wall,Year,Average Dropout Rate,,,,
Assam,61345,7155029,350284,8967,105121,29,321941,37,25.8,14.4,8,4.9,3,6.9,7.3,13.4,35.1,44.2,39.9,4.5,0.1,0.3,0,0.1,0,67.8,92.5,11.9,86.5,97.8,80.8,13.2,23.1,24.5,70.6,45.2,12.6,55.5,39.2,32.7,2020,13,,,,
Bihar,92661,26442654,589255,4748,235123,2578,432545,4.3,11,15.5,14.7,12.7,9.9,32,19.4,1.3,63.6,15.7,20.2,0.1,0,0,0,0,0,89.5,96.9,23.2,91.6,98.4,89.1,25.1,16.9,39.1,87.9,37.9,26.8,76.1,48.7,74.7,2020,6.8,,,,
Chandigarh,231,275816,9448,0,1852,12,9498,1.7,3,3,2.2,2.6,2.2,85.3,18.7,0.3,31.2,49.8,4.8,0.7,2.2,0.1,0,0.1,0,100,100,86.1,100,100,98.3,100,100,96.5,90.9,55.8,71,98.3,92.6,97.4,2020,0.5,,,,
Chhattisgarh,56799,5802319,261358,9275,72121,141,255848,42,27.5,12.7,6.5,3.7,2.3,5.3,13,33,42.2,11.8,1.8,0.8,0.3,0.1,0,0.1,0,96.9,98.8,20.2,96.9,99.3,97.1,35.2,31.6,39.9,86.2,48.4,35.2,73.5,48.4,60.3,2020,6.1,,,,
Dadra and Nagar Haveli and Daman & Diu,456,138332,4427,18,701,3,4460,14.5,12.5,10.1,9.2,7.7,7.2,38.8,2.2,53.8,18,26,6.4,1.9,0.1,0.1,0,0,0,99.6,99.6,66.2,98.7,99.8,95.4,93.9,95.8,85.1,91,43.9,45.6,88,69.7,83.8,2020,8.7,,,,
Delhi,5587,4714418,154230,15,48123,573,149880,5.5,4.6,3.9,3.3,3.6,3.6,75.5,16.7,0.7,35.2,47.4,14.4,0.4,2,0.1,0,0.3,0,99.7,99.7,79.8,99.3,99.7,97.1,98.9,98.2,95.9,91.8,54.5,66.8,98,88.1,98.1,2020,3,,,,
Goa,1515,312384,14227,114,2134,3,14022,33.3,22.2,13.2,8.6,5.6,3.5,13.6,2.1,13.9,29.6,54.4,9,7.5,0.1,0.1,0,0,0,99.1,99.3,50.4,98.1,99.6,96.9,86.8,92.1,74.5,92.2,41.8,37.4,86.3,70,76.2,2020,2.7,,,,
Gujarat,54013,11546747,379961,2576,115234,456,368532,14.9,19.9,17.6,13.7,9.9,7,17,7.4,18.2,47.8,26.6,11.2,0.6,0.1,0,0,0.2,0,99.4,99.4,55.8,97.6,99.3,94.7,82.1,79.9,75.1,92,43.3,50.4,84,64.7,85.7,2020,9.6,,,,
Haryana,23758,5757014,233785,969,67891,245,230823,11.3,16.8,17.3,14.5,10.7,7.5,21.9,21.9,0.1,40.1,37.9,6.5,0.2,3.3,0,0,0.1,0,98.4,98.8,43.8,97.1,99.2,88.4,55.5,61.2,61.1,85.1,38.9,35.8,79.2,55.5,79.5,2020,5.5,,,,
Himachal Pradesh,18037,1427181,100877,2816,14123,12,99016,67.6,22.1,6.6,2.3,0.9,0.4,0.1,28.4,5.9,16.7,49,2.2,0.2,0.8,1.2,0,0,0,99.1,99.1,32.6,98.4,99.7,90.2,48.1,54.1,50.6,83.3,37.9,37.4,73.9,49.6,69.1,2020,3.1,,,,
Jammu and Kashmir,29034,2742183,165089,3206,38452,103,161981,49.5,29.1,10.9,4.7,2.3,1.4,2.1,9.1,12.4,26.9,51.6,76.3,0.4,1.8,1.2,0,0,0.1,77.2,93.8,19.2,87.3,97.3,71.7,27.1,31.2,26.6,77.8,24.8,16.6,54.7,35.6,52.4,2020,4.3,,,,
Jharkhand,45059,7301078,206841,9185,94871,65,190130,30.1,30.7,16.7,9.2,5.2,3,5.1,12.5,27.2,47,13.3,13.8,4,0.1,0,0,0,0.6,75.3,94.8,17.8,89.6,97.3,77.6,16.8,18.4,27.3,81.9,42.4,22.3,59.7,38,50.4,2020,6,,,,
Karnataka,76479,12489849,431189,2353,137123,488,426030,24.1,26.8,17.5,10.4,6.5,4.2,10.5,17.9,7.2,51.8,23.1,13.2,1.1,0,0.2,0,0.4,0,97.3,98.6,33.5,97.2,99.2,87.8,52.2,50.7,56.2,84.3,46.8,40.5,76.8,50.4,70.4,2020,1.9,,,,
Kerala,16049,6289290,273752,539,72134,31,273347,4.6,8.6,10.5,10,9,8.1,49.2,10.4,1.5,45.2,42.9,28,11.7,0,0,0,0,0,99.6,99.7,72.9,99.4,99.7,98.7,94.5,96.3,89.1,93.6,63.1,59.2,95.5,85,88.5,2020,0,,,,
Ladakh,983,59828,6099,182,282,0,6013,62.8,25.3,7.5,2,1.1,0.8,0.5,0.6,71.7,1.9,25.8,13.8,0.5,0.1,38.7,0,0,0,96.4,97.2,33.7,95.1,95.3,89.8,75.5,81.1,49.5,84.9,24.1,19.6,71.2,47.4,63,2020,3.9,,,,
Lakshadweep,37,12735,807,0,34,0,807,2.7,2.7,5.4,5.4,10.8,16.2,56.8,0,95.1,0,4.9,97.8,1.4,0,0,0,0,0,100,100,83.8,100,100,100,100,100,100,100,73,81.1,100,91.9,100,2020,0,,,,
Madhya Pradesh,122416,15414895,589136,13861,247123,728,574620,45.7,30.3,11.9,5.4,2.7,1.5,2.5,17,24.2,47.6,11.2,6.5,0.3,0.2,0.1,0,0.2,0,89.8,97.2,18.1,92.2,98.2,87,24.5,28.8,30.8,83.7,47.9,27.3,66.7,41.8,61.1,2020,7.3,,,,
Maharashtra,109968,21408892,729983,7164,258123,806,725345,31,22.4,15.1,10,6.8,4.8,9.9,12.2,10.1,35.1,42.6,11.2,0.9,0.2,5.8,0,0.4,0.1,95,97.8,32.8,93.3,98.2,85.4,58.3,61.1,54.8,79.5,39.9,38.8,73.3,49.1,66,2020,2.8,,,,
Manipur,4613,664326,39908,540,6123,5,38739,36.3,25.6,14,8,5.2,3.2,7.7,3.8,37.8,13.9,44.5,9,43.9,0.1,0.1,0,0.1,2.8,50.1,86.4,14.1,78,87.4,79.1,22.8,28.4,23.4,74.3,35.3,14.4,49.6,44.5,38.8,2020,3.8,,,,
Meghalaya,14582,1091219,54845,1948,7712,14,48489,64,24.5,7.4,2.7,1,0.4,0,0.6,88.6,1.9,8.9,4.5,78,0,0.1,0,0,1,55.9,87.6,8.4,78.8,92,68.9,10.8,13.9,12.8,63.3,29.2,9.2,39.2,33.9,21.2,2020,3.8,,,,
Mizoram,3928,296181,22502,286,2245,2,22129,43.4,31.1,12.5,5.9,2.9,1.6,2.6,0.1,95.7,0.9,3.3,1.5,90.1,0,4.2,0,0,0,84.9,95.2,19.4,90.1,96.3,91.3,39.1,47.1,33.1,86.8,52.1,24.4,70.7,50.4,43.6,2020,1.8,,,,
Nagaland,2722,419688,31839,204,3456,0,30919,35.2,30.2,15,8,4.4,2.5,4.7,0,92,0.7,7.3,1.9,91,0.1,0.1,0,0,0.1,69.5,92.3,15.2,84.2,91.4,78.8,27,35.3,22.7,74.7,42.1,15.4,50.3,39.9,33.3,2020,3.7,,,,
Odisha,62513,7701452,330501,8127,115871,74,319403,36.2,30.3,15,7.7,4.3,2.5,4,20.6,25.5,41.9,12,2.4,1.7,0,0,0,0,0,78.8,95,16.4,89.6,96.8,75.8,21.1,28.4,28.1,74,40.4,20.7,56.7,37.5,49.9,2020,0,,,,
Puducherry,727,252972,12628,17,2254,3,12604,7.7,9.2,9.6,9.5,8.4,7.4,48.2,17.4,0.1,53,29.5,6.4,4.1,0,0,0,0,0,100,100,77.4,100,100,97.2,99,98.8,93.5,93.1,42.9,46.5,96.7,81.7,92.7,2020,0,,,,
Punjab,27670,5937818,259451,2088,71012,81,257849,17.8,18.2,16.5,13.2,10,7.2,17.1,37.6,0.1,21.8,40.5,1.9,1.2,27.9,0,0,0.1,0,99.5,99.7,61.9,99.2,99.8,95.5,94.6,95.1,82.8,94,54.2,42.8,91.2,75.1,91.6,2020,0,,,,
